/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0wdygge0
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260423_185136-0wdygge0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_PER_v6_3xtrain_ICM_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/0wdygge0
Starting ICM DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 5000 | Score: 33 | Record: 55 | Mean Score: 7.75 | Epsilon: 0.01 | Intrinsic: 0.141 | Eta: 0.01000
Game 5100 | Score: 21 | Record: 55 | Mean Score: 7.78 | Epsilon: 0.01 | Intrinsic: 0.058 | Eta: 0.01000
Game 5200 | Score: 0 | Record: 55 | Mean Score: 7.87 | Epsilon: 0.01 | Intrinsic: 0.022 | Eta: 0.01000
Game 5300 | Score: 21 | Record: 55 | Mean Score: 7.93 | Epsilon: 0.01 | Intrinsic: 0.065 | Eta: 0.01000
Game 5400 | Score: 0 | Record: 55 | Mean Score: 8.00 | Epsilon: 0.01 | Intrinsic: 0.020 | Eta: 0.01000
Game 5500 | Score: 0 | Record: 55 | Mean Score: 8.11 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 5600 | Score: 0 | Record: 55 | Mean Score: 8.18 | Epsilon: 0.01 | Intrinsic: 0.014 | Eta: 0.01000
Game 5700 | Score: 16 | Record: 55 | Mean Score: 8.25 | Epsilon: 0.01 | Intrinsic: 0.052 | Eta: 0.01000
Game 5800 | Score: 0 | Record: 55 | Mean Score: 8.30 | Epsilon: 0.01 | Intrinsic: 0.014 | Eta: 0.01000
Game 5900 | Score: 0 | Record: 55 | Mean Score: 8.34 | Epsilon: 0.01 | Intrinsic: 0.009 | Eta: 0.01000
Game 6000 | Score: 26 | Record: 55 | Mean Score: 8.44 | Epsilon: 0.01 | Intrinsic: 0.088 | Eta: 0.01000
Game 6100 | Score: 0 | Record: 55 | Mean Score: 8.49 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 6200 | Score: 0 | Record: 55 | Mean Score: 8.58 | Epsilon: 0.01 | Intrinsic: 0.001 | Eta: 0.01000
Game 6300 | Score: 27 | Record: 55 | Mean Score: 8.65 | Epsilon: 0.01 | Intrinsic: 0.108 | Eta: 0.01000
Game 6400 | Score: 0 | Record: 58 | Mean Score: 8.66 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 6500 | Score: 15 | Record: 58 | Mean Score: 8.67 | Epsilon: 0.01 | Intrinsic: 0.046 | Eta: 0.01000
Game 6600 | Score: 0 | Record: 58 | Mean Score: 8.71 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 6700 | Score: 0 | Record: 58 | Mean Score: 8.74 | Epsilon: 0.01 | Intrinsic: 0.015 | Eta: 0.01000
Game 6800 | Score: 0 | Record: 58 | Mean Score: 8.81 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 6900 | Score: 0 | Record: 58 | Mean Score: 8.86 | Epsilon: 0.01 | Intrinsic: 0.009 | Eta: 0.01000
Game 7000 | Score: 10 | Record: 58 | Mean Score: 8.90 | Epsilon: 0.01 | Intrinsic: 0.032 | Eta: 0.01000
Game 7100 | Score: 0 | Record: 58 | Mean Score: 8.92 | Epsilon: 0.01 | Intrinsic: 0.001 | Eta: 0.01000
