/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0z63vs5c
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_094200-0z63vs5c
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run PPO_Baseline_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/0z63vs5c
Starting Baseline PPO Training on 10x10 Board...
============================================================
Game 4800 | Score: 0 | Record: 3 | Mean: 0.19 | Intrinsic: 0.000
Game 4900 | Score: 0 | Record: 3 | Mean: 0.20 | Intrinsic: 0.000
Game 5000 | Score: 0 | Record: 3 | Mean: 0.20 | Intrinsic: 0.000
Game 5100 | Score: 1 | Record: 3 | Mean: 0.20 | Intrinsic: 0.000
Game 5200 | Score: 0 | Record: 3 | Mean: 0.20 | Intrinsic: 0.000
Game 5300 | Score: 0 | Record: 3 | Mean: 0.20 | Intrinsic: 0.000
Game 5400 | Score: 1 | Record: 3 | Mean: 0.20 | Intrinsic: 0.000
Game 5500 | Score: 0 | Record: 3 | Mean: 0.20 | Intrinsic: 0.000
Game 5600 | Score: 1 | Record: 3 | Mean: 0.21 | Intrinsic: 0.000
Game 5700 | Score: 2 | Record: 3 | Mean: 0.21 | Intrinsic: 0.000
Game 5800 | Score: 0 | Record: 3 | Mean: 0.21 | Intrinsic: 0.000
Game 5900 | Score: 1 | Record: 3 | Mean: 0.21 | Intrinsic: 0.000
Game 6000 | Score: 0 | Record: 3 | Mean: 0.21 | Intrinsic: 0.000
Game 6100 | Score: 1 | Record: 3 | Mean: 0.21 | Intrinsic: 0.000
Game 6200 | Score: 0 | Record: 3 | Mean: 0.21 | Intrinsic: 0.000
Game 6300 | Score: 1 | Record: 3 | Mean: 0.21 | Intrinsic: 0.000
Game 6400 | Score: 0 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
Game 6500 | Score: 1 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
Game 6600 | Score: 0 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
Game 6700 | Score: 0 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
Game 6800 | Score: 1 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
Game 6900 | Score: 0 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
Game 7000 | Score: 0 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
Game 7100 | Score: 0 | Record: 3 | Mean: 0.22 | Intrinsic: 0.000
