Starting Baseline DQN Training (Dueling + 3-Step) on 5x5 Board...
Game 5600 | Score: 18 | Record: 24 | Mean Score: 5.41 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5700 | Score: 0 | Record: 24 | Mean Score: 5.46 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5800 | Score: 14 | Record: 24 | Mean Score: 5.49 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5900 | Score: 0 | Record: 24 | Mean Score: 5.53 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6000 | Score: 13 | Record: 24 | Mean Score: 5.54 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6100 | Score: 14 | Record: 24 | Mean Score: 5.56 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6200 | Score: 0 | Record: 24 | Mean Score: 5.59 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6300 | Score: 16 | Record: 24 | Mean Score: 5.64 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6400 | Score: 3 | Record: 24 | Mean Score: 5.65 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6500 | Score: 0 | Record: 24 | Mean Score: 5.67 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6600 | Score: 18 | Record: 24 | Mean Score: 5.70 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6700 | Score: 16 | Record: 24 | Mean Score: 5.72 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6800 | Score: 0 | Record: 24 | Mean Score: 5.76 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6900 | Score: 0 | Record: 24 | Mean Score: 5.79 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7000 | Score: 14 | Record: 24 | Mean Score: 5.83 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7100 | Score: 0 | Record: 24 | Mean Score: 5.87 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7200 | Score: 0 | Record: 24 | Mean Score: 5.90 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7300 | Score: 0 | Record: 24 | Mean Score: 5.92 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7400 | Score: 11 | Record: 24 | Mean Score: 5.94 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7500 | Score: 0 | Record: 24 | Mean Score: 5.95 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7600 | Score: 19 | Record: 24 | Mean Score: 5.97 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7700 | Score: 21 | Record: 24 | Mean Score: 5.99 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7800 | Score: 0 | Record: 24 | Mean Score: 6.00 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7900 | Score: 17 | Record: 24 | Mean Score: 6.02 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8000 | Score: 18 | Record: 24 | Mean Score: 6.03 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8100 | Score: 0 | Record: 24 | Mean Score: 6.04 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8200 | Score: 10 | Record: 24 | Mean Score: 6.06 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8300 | Score: 0 | Record: 24 | Mean Score: 6.07 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8400 | Score: 0 | Record: 24 | Mean Score: 6.09 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8500 | Score: 21 | Record: 24 | Mean Score: 6.11 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8600 | Score: 13 | Record: 24 | Mean Score: 6.12 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8700 | Score: 10 | Record: 24 | Mean Score: 6.15 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8800 | Score: 16 | Record: 24 | Mean Score: 6.16 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8900 | Score: 0 | Record: 24 | Mean Score: 6.18 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9000 | Score: 0 | Record: 24 | Mean Score: 6.20 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9100 | Score: 7 | Record: 24 | Mean Score: 6.21 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9200 | Score: 0 | Record: 24 | Mean Score: 6.23 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9300 | Score: 12 | Record: 24 | Mean Score: 6.24 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9400 | Score: 0 | Record: 24 | Mean Score: 6.26 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9500 | Score: 0 | Record: 24 | Mean Score: 6.28 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9600 | Score: 12 | Record: 24 | Mean Score: 6.30 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9700 | Score: 0 | Record: 24 | Mean Score: 6.31 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9800 | Score: 17 | Record: 24 | Mean Score: 6.33 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9900 | Score: 0 | Record: 24 | Mean Score: 6.34 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10000 | Score: 18 | Record: 24 | Mean Score: 6.36 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10100 | Score: 0 | Record: 24 | Mean Score: 6.37 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10200 | Score: 12 | Record: 24 | Mean Score: 6.39 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10300 | Score: 0 | Record: 24 | Mean Score: 6.42 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10400 | Score: 0 | Record: 24 | Mean Score: 6.42 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10500 | Score: 13 | Record: 24 | Mean Score: 6.43 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10600 | Score: 14 | Record: 24 | Mean Score: 6.45 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10700 | Score: 0 | Record: 24 | Mean Score: 6.46 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10800 | Score: 8 | Record: 24 | Mean Score: 6.47 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10900 | Score: 12 | Record: 24 | Mean Score: 6.49 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11000 | Score: 7 | Record: 24 | Mean Score: 6.50 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11100 | Score: 17 | Record: 24 | Mean Score: 6.52 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11200 | Score: 0 | Record: 24 | Mean Score: 6.53 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11300 | Score: 5 | Record: 24 | Mean Score: 6.54 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11400 | Score: 0 | Record: 24 | Mean Score: 6.55 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11500 | Score: 0 | Record: 24 | Mean Score: 6.56 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11600 | Score: 0 | Record: 24 | Mean Score: 6.56 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11700 | Score: 0 | Record: 24 | Mean Score: 6.58 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11800 | Score: 0 | Record: 24 | Mean Score: 6.60 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11900 | Score: 15 | Record: 24 | Mean Score: 6.61 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12000 | Score: 0 | Record: 24 | Mean Score: 6.62 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12100 | Score: 0 | Record: 24 | Mean Score: 6.63 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12200 | Score: 0 | Record: 24 | Mean Score: 6.65 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12300 | Score: 19 | Record: 24 | Mean Score: 6.66 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12400 | Score: 0 | Record: 24 | Mean Score: 6.67 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12500 | Score: 23 | Record: 24 | Mean Score: 6.68 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12600 | Score: 16 | Record: 24 | Mean Score: 6.69 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12700 | Score: 14 | Record: 24 | Mean Score: 6.70 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12800 | Score: 16 | Record: 24 | Mean Score: 6.71 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12900 | Score: 2 | Record: 24 | Mean Score: 6.71 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13000 | Score: 0 | Record: 24 | Mean Score: 6.72 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13100 | Score: 21 | Record: 24 | Mean Score: 6.73 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13200 | Score: 13 | Record: 24 | Mean Score: 6.75 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13300 | Score: 17 | Record: 24 | Mean Score: 6.75 | Epsilon: 0.01 | Intrinsic: 0.000
