<The background buffer retains approximately the last half of the run>
Game 12100 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 12200 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 12300 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.002 | Eta: 0.01000
Game 12400 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 12500 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.000 | Eta: 0.01000
Game 12600 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 12700 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 12800 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 12900 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 13000 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 13100 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.003 | Eta: 0.01000
Game 13200 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 13300 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 13400 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.003 | Eta: 0.01000
Game 13500 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 13600 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.003 | Eta: 0.01000
Game 13700 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 13800 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 13900 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 14000 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.004 | Eta: 0.01000
Game 14100 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 14200 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 14300 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 14400 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 14500 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.002 | Eta: 0.01000
Game 14600 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 14700 | Score: 1 | Record: 4 | Mean: 0.29 | Intrinsic: 0.003 | Eta: 0.01000
Game 14800 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 14900 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
Game 15000 | Score: 0 | Record: 4 | Mean: 0.29 | Intrinsic: 0.001 | Eta: 0.01000
