/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run f0t4doie
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_104219-f0t4doie
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_ICM_5x5
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/f0t4doie
Starting ICM DQN Training (Dueling + 3-Step) on 5x5 Board...
Game 4100 | Score: 0 | Record: 24 | Mean Score: 4.49 | Epsilon: 0.01 | Intrinsic: 0.024 | Eta: 0.01000
Game 4200 | Score: 1 | Record: 24 | Mean Score: 4.57 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 4300 | Score: 21 | Record: 24 | Mean Score: 4.64 | Epsilon: 0.01 | Intrinsic: 0.061 | Eta: 0.01000
Game 4400 | Score: 0 | Record: 24 | Mean Score: 4.71 | Epsilon: 0.01 | Intrinsic: 0.015 | Eta: 0.01000
Game 4500 | Score: 0 | Record: 24 | Mean Score: 4.78 | Epsilon: 0.01 | Intrinsic: 0.014 | Eta: 0.01000
Game 4600 | Score: 0 | Record: 24 | Mean Score: 4.85 | Epsilon: 0.01 | Intrinsic: 0.009 | Eta: 0.01000
Game 4700 | Score: 0 | Record: 24 | Mean Score: 4.92 | Epsilon: 0.01 | Intrinsic: 0.010 | Eta: 0.01000
Game 4800 | Score: 10 | Record: 24 | Mean Score: 4.99 | Epsilon: 0.01 | Intrinsic: 0.042 | Eta: 0.01000
Game 4900 | Score: 23 | Record: 24 | Mean Score: 5.04 | Epsilon: 0.01 | Intrinsic: 0.070 | Eta: 0.01000
Game 5000 | Score: 0 | Record: 24 | Mean Score: 5.08 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
