/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ndj5dr5o
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260518_070021-ndj5dr5o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed2
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/ndj5dr5o
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 5500 | Score: 3 | Record: 6 | Mean: 1.38 | ε: 0.275 | Steps: 314,745
Game 5600 | Score: 2 | Record: 6 | Mean: 1.40 | ε: 0.266 | Steps: 318,948
Game 5700 | Score: 3 | Record: 6 | Mean: 1.41 | ε: 0.257 | Steps: 322,986
Game 5800 | Score: 2 | Record: 6 | Mean: 1.43 | ε: 0.248 | Steps: 326,905
Game 5900 | Score: 2 | Record: 6 | Mean: 1.45 | ε: 0.238 | Steps: 331,216
Game 6000 | Score: 2 | Record: 6 | Mean: 1.46 | ε: 0.228 | Steps: 335,402
Game 6100 | Score: 2 | Record: 6 | Mean: 1.48 | ε: 0.218 | Steps: 339,775
Game 6200 | Score: 4 | Record: 6 | Mean: 1.50 | ε: 0.209 | Steps: 343,839
Game 6300 | Score: 2 | Record: 6 | Mean: 1.51 | ε: 0.199 | Steps: 348,021
Game 6400 | Score: 3 | Record: 7 | Mean: 1.53 | ε: 0.189 | Steps: 352,191
Game 6500 | Score: 0 | Record: 7 | Mean: 1.55 | ε: 0.179 | Steps: 356,685
Game 6600 | Score: 4 | Record: 7 | Mean: 1.57 | ε: 0.168 | Steps: 361,279
Game 6700 | Score: 2 | Record: 9 | Mean: 1.59 | ε: 0.158 | Steps: 365,738
Game 6800 | Score: 2 | Record: 9 | Mean: 1.61 | ε: 0.147 | Steps: 370,408
