/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run cfxdde3k
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260515_114819-cfxdde3k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed0
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/cfxdde3k
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 5500 | Score: 4 | Record: 7 | Mean: 1.37 | ε: 0.269 | Steps: 317,690
Game 5600 | Score: 2 | Record: 7 | Mean: 1.38 | ε: 0.259 | Steps: 321,827
Game 5700 | Score: 2 | Record: 7 | Mean: 1.40 | ε: 0.250 | Steps: 325,734
Game 5800 | Score: 2 | Record: 7 | Mean: 1.42 | ε: 0.241 | Steps: 329,720
Game 5900 | Score: 3 | Record: 7 | Mean: 1.43 | ε: 0.231 | Steps: 334,077
Game 6000 | Score: 3 | Record: 7 | Mean: 1.45 | ε: 0.221 | Steps: 338,234
Game 6100 | Score: 2 | Record: 7 | Mean: 1.46 | ε: 0.212 | Steps: 342,471
Game 6200 | Score: 3 | Record: 7 | Mean: 1.48 | ε: 0.202 | Steps: 346,667
Game 6300 | Score: 3 | Record: 7 | Mean: 1.50 | ε: 0.192 | Steps: 351,158
Game 6400 | Score: 2 | Record: 7 | Mean: 1.52 | ε: 0.181 | Steps: 355,881
Game 6500 | Score: 4 | Record: 7 | Mean: 1.54 | ε: 0.170 | Steps: 360,457
Game 6600 | Score: 2 | Record: 7 | Mean: 1.55 | ε: 0.160 | Steps: 365,070
Game 6700 | Score: 2 | Record: 7 | Mean: 1.58 | ε: 0.148 | Steps: 370,117
Game 6800 | Score: 3 | Record: 8 | Mean: 1.60 | ε: 0.136 | Steps: 375,292
Game 6900 | Score: 2 | Record: 8 | Mean: 1.62 | ε: 0.125 | Steps: 379,934
Game 7000 | Score: 5 | Record: 9 | Mean: 1.65 | ε: 0.113 | Steps: 385,208
Game 7100 | Score: 5 | Record: 9 | Mean: 1.67 | ε: 0.102 | Steps: 390,138
Game 7200 | Score: 6 | Record: 9 | Mean: 1.70 | ε: 0.088 | Steps: 396,098
Game 7300 | Score: 4 | Record: 11 | Mean: 1.73 | ε: 0.074 | Steps: 402,276
Game 7400 | Score: 3 | Record: 11 | Mean: 1.76 | ε: 0.057 | Steps: 409,498
Game 7500 | Score: 2 | Record: 16 | Mean: 1.81 | ε: 0.034 | Steps: 419,593
Game 7600 | Score: 14 | Record: 20 | Mean: 1.91 | ε: 0.010 | Steps: 440,584
Game 7700 | Score: 13 | Record: 22 | Mean: 2.02 | ε: 0.010 | Steps: 469,236
Game 7800 | Score: 11 | Record: 23 | Mean: 2.15 | ε: 0.010 | Steps: 496,032
Game 7900 | Score: 4 | Record: 24 | Mean: 2.27 | ε: 0.010 | Steps: 519,490
Game 8000 | Score: 14 | Record: 26 | Mean: 2.39 | ε: 0.010 | Steps: 549,320
Game 8100 | Score: 9 | Record: 26 | Mean: 2.52 | ε: 0.010 | Steps: 575,808
Game 8200 | Score: 11 | Record: 32 | Mean: 2.65 | ε: 0.010 | Steps: 603,432
Game 8300 | Score: 15 | Record: 32 | Mean: 2.78 | ε: 0.010 | Steps: 626,992
Game 8400 | Score: 4 | Record: 32 | Mean: 2.90 | ε: 0.010 | Steps: 650,054
Game 8500 | Score: 24 | Record: 32 | Mean: 3.04 | ε: 0.010 | Steps: 676,904
Game 8600 | Score: 6 | Record: 34 | Mean: 3.18 | ε: 0.010 | Steps: 704,076
