/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run t5120te1
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_084517-t5120te1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_Baseline_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/t5120te1
Starting Baseline DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 4800 | Score: 27 | Record: 47 | Mean Score: 6.95 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4900 | Score: 17 | Record: 47 | Mean Score: 7.02 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5000 | Score: 27 | Record: 47 | Mean Score: 7.11 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5100 | Score: 0 | Record: 47 | Mean Score: 7.17 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5200 | Score: 13 | Record: 47 | Mean Score: 7.25 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5300 | Score: 23 | Record: 47 | Mean Score: 7.32 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5400 | Score: 0 | Record: 47 | Mean Score: 7.38 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5500 | Score: 0 | Record: 47 | Mean Score: 7.46 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5600 | Score: 35 | Record: 47 | Mean Score: 7.57 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5700 | Score: 0 | Record: 47 | Mean Score: 7.67 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5800 | Score: 0 | Record: 54 | Mean Score: 7.76 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5900 | Score: 28 | Record: 54 | Mean Score: 7.83 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6000 | Score: 26 | Record: 54 | Mean Score: 7.89 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6100 | Score: 33 | Record: 54 | Mean Score: 7.93 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6200 | Score: 0 | Record: 54 | Mean Score: 7.97 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6300 | Score: 0 | Record: 54 | Mean Score: 8.01 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6400 | Score: 35 | Record: 54 | Mean Score: 8.06 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6500 | Score: 21 | Record: 54 | Mean Score: 8.10 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6600 | Score: 30 | Record: 54 | Mean Score: 8.18 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6700 | Score: 0 | Record: 54 | Mean Score: 8.20 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6800 | Score: 21 | Record: 54 | Mean Score: 8.25 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6900 | Score: 0 | Record: 54 | Mean Score: 8.30 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7000 | Score: 13 | Record: 54 | Mean Score: 8.34 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7100 | Score: 0 | Record: 54 | Mean Score: 8.38 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7200 | Score: 0 | Record: 54 | Mean Score: 8.42 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7300 | Score: 36 | Record: 54 | Mean Score: 8.49 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7400 | Score: 0 | Record: 54 | Mean Score: 8.56 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7500 | Score: 0 | Record: 54 | Mean Score: 8.61 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7600 | Score: 0 | Record: 54 | Mean Score: 8.64 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7700 | Score: 28 | Record: 54 | Mean Score: 8.66 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7800 | Score: 0 | Record: 54 | Mean Score: 8.69 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7900 | Score: 0 | Record: 54 | Mean Score: 8.74 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8000 | Score: 21 | Record: 54 | Mean Score: 8.79 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8100 | Score: 33 | Record: 54 | Mean Score: 8.81 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8200 | Score: 0 | Record: 54 | Mean Score: 8.83 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8300 | Score: 20 | Record: 54 | Mean Score: 8.84 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8400 | Score: 0 | Record: 54 | Mean Score: 8.86 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8500 | Score: 0 | Record: 54 | Mean Score: 8.91 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8600 | Score: 0 | Record: 54 | Mean Score: 8.95 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8700 | Score: 30 | Record: 54 | Mean Score: 8.97 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8800 | Score: 0 | Record: 54 | Mean Score: 9.02 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8900 | Score: 0 | Record: 54 | Mean Score: 9.08 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9000 | Score: 19 | Record: 54 | Mean Score: 9.13 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9100 | Score: 25 | Record: 54 | Mean Score: 9.15 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9200 | Score: 28 | Record: 54 | Mean Score: 9.18 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9300 | Score: 36 | Record: 54 | Mean Score: 9.22 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9400 | Score: 0 | Record: 54 | Mean Score: 9.25 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9500 | Score: 38 | Record: 54 | Mean Score: 9.29 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9600 | Score: 0 | Record: 54 | Mean Score: 9.34 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9700 | Score: 21 | Record: 54 | Mean Score: 9.37 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9800 | Score: 0 | Record: 54 | Mean Score: 9.41 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9900 | Score: 42 | Record: 54 | Mean Score: 9.44 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10000 | Score: 0 | Record: 54 | Mean Score: 9.46 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10100 | Score: 0 | Record: 54 | Mean Score: 9.47 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10200 | Score: 13 | Record: 54 | Mean Score: 9.50 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10300 | Score: 30 | Record: 54 | Mean Score: 9.53 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10400 | Score: 0 | Record: 54 | Mean Score: 9.57 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10500 | Score: 0 | Record: 54 | Mean Score: 9.60 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10600 | Score: 12 | Record: 54 | Mean Score: 9.61 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10700 | Score: 34 | Record: 54 | Mean Score: 9.62 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10800 | Score: 0 | Record: 54 | Mean Score: 9.65 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10900 | Score: 0 | Record: 54 | Mean Score: 9.68 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11000 | Score: 18 | Record: 54 | Mean Score: 9.68 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11100 | Score: 24 | Record: 54 | Mean Score: 9.71 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11200 | Score: 0 | Record: 54 | Mean Score: 9.73 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11300 | Score: 30 | Record: 54 | Mean Score: 9.76 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11400 | Score: 28 | Record: 54 | Mean Score: 9.77 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11500 | Score: 0 | Record: 54 | Mean Score: 9.80 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11600 | Score: 0 | Record: 54 | Mean Score: 9.82 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11700 | Score: 27 | Record: 54 | Mean Score: 9.86 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11800 | Score: 17 | Record: 54 | Mean Score: 9.87 | Epsilon: 0.01 | Intrinsic: 0.000
Game 11900 | Score: 0 | Record: 54 | Mean Score: 9.88 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12000 | Score: 0 | Record: 54 | Mean Score: 9.93 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12100 | Score: 22 | Record: 54 | Mean Score: 9.95 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12200 | Score: 34 | Record: 54 | Mean Score: 9.97 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12300 | Score: 0 | Record: 54 | Mean Score: 9.98 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12400 | Score: 37 | Record: 54 | Mean Score: 10.00 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12500 | Score: 27 | Record: 54 | Mean Score: 10.01 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12600 | Score: 0 | Record: 54 | Mean Score: 10.03 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12700 | Score: 0 | Record: 54 | Mean Score: 10.05 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12800 | Score: 0 | Record: 54 | Mean Score: 10.07 | Epsilon: 0.01 | Intrinsic: 0.000
Game 12900 | Score: 30 | Record: 54 | Mean Score: 10.10 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13000 | Score: 0 | Record: 54 | Mean Score: 10.11 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13100 | Score: 33 | Record: 54 | Mean Score: 10.13 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13200 | Score: 0 | Record: 54 | Mean Score: 10.14 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13300 | Score: 0 | Record: 54 | Mean Score: 10.18 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13400 | Score: 0 | Record: 54 | Mean Score: 10.19 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13500 | Score: 23 | Record: 54 | Mean Score: 10.19 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13600 | Score: 0 | Record: 54 | Mean Score: 10.22 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13700 | Score: 0 | Record: 54 | Mean Score: 10.23 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13800 | Score: 40 | Record: 54 | Mean Score: 10.24 | Epsilon: 0.01 | Intrinsic: 0.000
Game 13900 | Score: 19 | Record: 54 | Mean Score: 10.26 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14000 | Score: 22 | Record: 54 | Mean Score: 10.27 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14100 | Score: 0 | Record: 54 | Mean Score: 10.27 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14200 | Score: 0 | Record: 54 | Mean Score: 10.28 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14300 | Score: 21 | Record: 54 | Mean Score: 10.31 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14400 | Score: 0 | Record: 54 | Mean Score: 10.31 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14500 | Score: 0 | Record: 54 | Mean Score: 10.33 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14600 | Score: 27 | Record: 54 | Mean Score: 10.35 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14700 | Score: 28 | Record: 54 | Mean Score: 10.37 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14800 | Score: 0 | Record: 54 | Mean Score: 10.40 | Epsilon: 0.01 | Intrinsic: 0.000
Game 14900 | Score: 23 | Record: 54 | Mean Score: 10.41 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15000 | Score: 31 | Record: 54 | Mean Score: 10.43 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15100 | Score: 0 | Record: 54 | Mean Score: 10.43 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15200 | Score: 11 | Record: 54 | Mean Score: 10.45 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15300 | Score: 36 | Record: 54 | Mean Score: 10.46 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15400 | Score: 18 | Record: 54 | Mean Score: 10.47 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15500 | Score: 0 | Record: 54 | Mean Score: 10.49 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15600 | Score: 16 | Record: 54 | Mean Score: 10.49 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15700 | Score: 39 | Record: 54 | Mean Score: 10.49 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15800 | Score: 36 | Record: 54 | Mean Score: 10.52 | Epsilon: 0.01 | Intrinsic: 0.000
Game 15900 | Score: 0 | Record: 54 | Mean Score: 10.53 | Epsilon: 0.01 | Intrinsic: 0.000
Game 16000 | Score: 31 | Record: 54 | Mean Score: 10.54 | Epsilon: 0.01 | Intrinsic: 0.000

Training Complete!
Best Score: 54
Final Mean Score: 10.54
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 158-159, summary, console lines 159-164
wandb: uploading data
wandb: 
wandb: Run history:
wandb:    Epsilon █▇▅▄▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:       Game ▁▁▁▁▁▁▂▂▂▂▂▂▂▃▃▃▃▄▄▄▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇███
wandb: Mean_Score ▁▁▁▂▂▃▄▄▄▅▆▆▆▆▆▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇██████████
wandb:     Record ▁▁▃▃▃▅▆▆▆▆▇▇▇▇▇█████████████████████████
wandb:      Score ▁▁▅▁▁▂▇▁▆▅▄▁▁▅▁▁▁▁▇▁▄▆▅█▁▁▆▅▇▅▁▅█▁▁▅▁▃▇▁
wandb: 
wandb: Run summary:
wandb:    Epsilon 0.01
wandb:       Game 16000
wandb: Mean_Score 10.54
wandb:     Record 54
wandb:      Score 31
wandb: 
wandb: 🚀 View run DQN_Baseline_10x10 at: https://wandb.ai/saheb37/rl-snake/runs/t5120te1
wandb: ⭐️ View project at: https://wandb.ai/saheb37/rl-snake
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260422_084517-t5120te1/logs
