/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run cd1zjnl5
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260424_102813-cd1zjnl5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_v10_richstate_Baseline_noPER_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/cd1zjnl5
Starting Baseline DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 3200 | Score: 0 | Record: 54 | Mean Score: 4.99 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3300 | Score: 0 | Record: 54 | Mean Score: 5.23 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3400 | Score: 12 | Record: 54 | Mean Score: 5.35 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3500 | Score: 0 | Record: 54 | Mean Score: 5.59 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3600 | Score: 0 | Record: 54 | Mean Score: 5.74 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3700 | Score: 28 | Record: 54 | Mean Score: 5.91 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3800 | Score: 23 | Record: 56 | Mean Score: 6.10 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3900 | Score: 36 | Record: 56 | Mean Score: 6.24 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4000 | Score: 4 | Record: 56 | Mean Score: 6.38 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4100 | Score: 10 | Record: 56 | Mean Score: 6.54 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4200 | Score: 22 | Record: 56 | Mean Score: 6.65 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4300 | Score: 14 | Record: 56 | Mean Score: 6.72 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4400 | Score: 0 | Record: 56 | Mean Score: 6.82 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4500 | Score: 0 | Record: 56 | Mean Score: 6.94 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4600 | Score: 0 | Record: 56 | Mean Score: 6.99 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4700 | Score: 30 | Record: 56 | Mean Score: 7.10 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4800 | Score: 17 | Record: 56 | Mean Score: 7.18 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4900 | Score: 0 | Record: 56 | Mean Score: 7.24 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5000 | Score: 31 | Record: 56 | Mean Score: 7.37 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5100 | Score: 17 | Record: 56 | Mean Score: 7.49 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5200 | Score: 38 | Record: 56 | Mean Score: 7.56 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5300 | Score: 33 | Record: 56 | Mean Score: 7.63 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5400 | Score: 0 | Record: 56 | Mean Score: 7.71 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5500 | Score: 17 | Record: 56 | Mean Score: 7.82 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5600 | Score: 38 | Record: 56 | Mean Score: 7.87 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5700 | Score: 32 | Record: 56 | Mean Score: 7.92 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5800 | Score: 0 | Record: 56 | Mean Score: 7.99 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5900 | Score: 29 | Record: 56 | Mean Score: 8.05 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6000 | Score: 19 | Record: 56 | Mean Score: 8.14 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6100 | Score: 0 | Record: 56 | Mean Score: 8.16 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6200 | Score: 37 | Record: 56 | Mean Score: 8.21 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6300 | Score: 19 | Record: 56 | Mean Score: 8.30 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6400 | Score: 0 | Record: 56 | Mean Score: 8.35 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6500 | Score: 0 | Record: 56 | Mean Score: 8.37 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6600 | Score: 0 | Record: 56 | Mean Score: 8.38 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6700 | Score: 17 | Record: 56 | Mean Score: 8.43 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6800 | Score: 0 | Record: 56 | Mean Score: 8.51 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6900 | Score: 0 | Record: 56 | Mean Score: 8.58 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7000 | Score: 0 | Record: 56 | Mean Score: 8.61 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7100 | Score: 0 | Record: 56 | Mean Score: 8.64 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7200 | Score: 0 | Record: 56 | Mean Score: 8.68 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7300 | Score: 0 | Record: 56 | Mean Score: 8.73 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7400 | Score: 0 | Record: 56 | Mean Score: 8.78 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7500 | Score: 0 | Record: 56 | Mean Score: 8.82 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7600 | Score: 0 | Record: 56 | Mean Score: 8.87 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7700 | Score: 0 | Record: 56 | Mean Score: 8.91 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7800 | Score: 8 | Record: 56 | Mean Score: 8.92 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7900 | Score: 18 | Record: 56 | Mean Score: 8.94 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8000 | Score: 0 | Record: 56 | Mean Score: 8.99 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8100 | Score: 20 | Record: 56 | Mean Score: 9.03 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8200 | Score: 0 | Record: 56 | Mean Score: 9.06 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8300 | Score: 0 | Record: 56 | Mean Score: 9.10 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8400 | Score: 0 | Record: 56 | Mean Score: 9.12 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8500 | Score: 37 | Record: 56 | Mean Score: 9.14 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8600 | Score: 0 | Record: 56 | Mean Score: 9.17 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8700 | Score: 29 | Record: 56 | Mean Score: 9.20 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8800 | Score: 0 | Record: 56 | Mean Score: 9.21 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8900 | Score: 31 | Record: 56 | Mean Score: 9.24 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9000 | Score: 0 | Record: 56 | Mean Score: 9.27 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9100 | Score: 33 | Record: 56 | Mean Score: 9.29 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9200 | Score: 0 | Record: 56 | Mean Score: 9.31 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9300 | Score: 15 | Record: 56 | Mean Score: 9.33 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9400 | Score: 20 | Record: 56 | Mean Score: 9.34 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9500 | Score: 0 | Record: 56 | Mean Score: 9.37 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9600 | Score: 0 | Record: 56 | Mean Score: 9.38 | Epsilon: 0.01 | Intrinsic: 0.000
