/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 3rurfbo5
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260423_143304-3rurfbo5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_PER_v5_2hl_ICM_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/3rurfbo5
Starting ICM DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 4100 | Score: 20 | Record: 40 | Mean Score: 5.30 | Epsilon: 0.01 | Intrinsic: 0.070 | Eta: 0.01000
Game 4200 | Score: 12 | Record: 40 | Mean Score: 5.39 | Epsilon: 0.01 | Intrinsic: 0.036 | Eta: 0.01000
Game 4300 | Score: 22 | Record: 41 | Mean Score: 5.51 | Epsilon: 0.01 | Intrinsic: 0.080 | Eta: 0.01000
Game 4400 | Score: 0 | Record: 41 | Mean Score: 5.63 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 4500 | Score: 29 | Record: 41 | Mean Score: 5.71 | Epsilon: 0.01 | Intrinsic: 0.102 | Eta: 0.01000
Game 4600 | Score: 7 | Record: 43 | Mean Score: 5.86 | Epsilon: 0.01 | Intrinsic: 0.023 | Eta: 0.01000
Game 4700 | Score: 0 | Record: 43 | Mean Score: 5.98 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
Game 4800 | Score: 0 | Record: 43 | Mean Score: 6.12 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 4900 | Score: 0 | Record: 52 | Mean Score: 6.25 | Epsilon: 0.01 | Intrinsic: 0.010 | Eta: 0.01000
Game 5000 | Score: 0 | Record: 52 | Mean Score: 6.37 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 5100 | Score: 0 | Record: 52 | Mean Score: 6.43 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 5200 | Score: 22 | Record: 52 | Mean Score: 6.50 | Epsilon: 0.01 | Intrinsic: 0.091 | Eta: 0.01000
Game 5300 | Score: 0 | Record: 52 | Mean Score: 6.56 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 5400 | Score: 31 | Record: 52 | Mean Score: 6.67 | Epsilon: 0.01 | Intrinsic: 0.109 | Eta: 0.01000
Game 5500 | Score: 23 | Record: 52 | Mean Score: 6.74 | Epsilon: 0.01 | Intrinsic: 0.082 | Eta: 0.01000
Game 5600 | Score: 34 | Record: 52 | Mean Score: 6.80 | Epsilon: 0.01 | Intrinsic: 0.111 | Eta: 0.01000
Game 5700 | Score: 9 | Record: 52 | Mean Score: 6.87 | Epsilon: 0.01 | Intrinsic: 0.025 | Eta: 0.01000
Game 5800 | Score: 0 | Record: 52 | Mean Score: 6.98 | Epsilon: 0.01 | Intrinsic: 0.012 | Eta: 0.01000
Game 5900 | Score: 16 | Record: 52 | Mean Score: 7.05 | Epsilon: 0.01 | Intrinsic: 0.046 | Eta: 0.01000
Game 6000 | Score: 0 | Record: 52 | Mean Score: 7.10 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 6100 | Score: 0 | Record: 52 | Mean Score: 7.16 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 6200 | Score: 0 | Record: 52 | Mean Score: 7.22 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
Game 6300 | Score: 22 | Record: 52 | Mean Score: 7.28 | Epsilon: 0.01 | Intrinsic: 0.080 | Eta: 0.01000
Game 6400 | Score: 0 | Record: 52 | Mean Score: 7.34 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 6500 | Score: 35 | Record: 52 | Mean Score: 7.39 | Epsilon: 0.01 | Intrinsic: 0.111 | Eta: 0.01000
Game 6600 | Score: 0 | Record: 52 | Mean Score: 7.44 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 6700 | Score: 0 | Record: 52 | Mean Score: 7.54 | Epsilon: 0.01 | Intrinsic: 0.020 | Eta: 0.01000
Game 6800 | Score: 0 | Record: 52 | Mean Score: 7.57 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 6900 | Score: 7 | Record: 52 | Mean Score: 7.62 | Epsilon: 0.01 | Intrinsic: 0.028 | Eta: 0.01000
Game 7000 | Score: 0 | Record: 52 | Mean Score: 7.69 | Epsilon: 0.01 | Intrinsic: 0.001 | Eta: 0.01000
Game 7100 | Score: 16 | Record: 52 | Mean Score: 7.74 | Epsilon: 0.01 | Intrinsic: 0.037 | Eta: 0.01000
Game 7200 | Score: 3 | Record: 52 | Mean Score: 7.78 | Epsilon: 0.01 | Intrinsic: 0.019 | Eta: 0.01000
Game 7300 | Score: 0 | Record: 52 | Mean Score: 7.85 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 7400 | Score: 22 | Record: 52 | Mean Score: 7.91 | Epsilon: 0.01 | Intrinsic: 0.081 | Eta: 0.01000
Game 7500 | Score: 0 | Record: 52 | Mean Score: 7.95 | Epsilon: 0.01 | Intrinsic: 0.017 | Eta: 0.01000
Game 7600 | Score: 33 | Record: 52 | Mean Score: 7.98 | Epsilon: 0.01 | Intrinsic: 0.122 | Eta: 0.01000
Game 7700 | Score: 0 | Record: 52 | Mean Score: 8.03 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 7800 | Score: 0 | Record: 52 | Mean Score: 8.08 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 7900 | Score: 22 | Record: 52 | Mean Score: 8.12 | Epsilon: 0.01 | Intrinsic: 0.065 | Eta: 0.01000
Game 8000 | Score: 18 | Record: 52 | Mean Score: 8.15 | Epsilon: 0.01 | Intrinsic: 0.070 | Eta: 0.01000
Game 8100 | Score: 0 | Record: 52 | Mean Score: 8.22 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 8200 | Score: 0 | Record: 52 | Mean Score: 8.28 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 8300 | Score: 32 | Record: 52 | Mean Score: 8.32 | Epsilon: 0.01 | Intrinsic: 0.129 | Eta: 0.01000
Game 8400 | Score: 33 | Record: 52 | Mean Score: 8.35 | Epsilon: 0.01 | Intrinsic: 0.114 | Eta: 0.01000
Game 8500 | Score: 8 | Record: 52 | Mean Score: 8.40 | Epsilon: 0.01 | Intrinsic: 0.016 | Eta: 0.01000
Game 8600 | Score: 0 | Record: 52 | Mean Score: 8.43 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
Game 8700 | Score: 34 | Record: 52 | Mean Score: 8.46 | Epsilon: 0.01 | Intrinsic: 0.121 | Eta: 0.01000
Game 8800 | Score: 17 | Record: 52 | Mean Score: 8.48 | Epsilon: 0.01 | Intrinsic: 0.066 | Eta: 0.01000
Game 8900 | Score: 22 | Record: 52 | Mean Score: 8.52 | Epsilon: 0.01 | Intrinsic: 0.054 | Eta: 0.01000
Game 9000 | Score: 31 | Record: 52 | Mean Score: 8.54 | Epsilon: 0.01 | Intrinsic: 0.126 | Eta: 0.01000
Game 9100 | Score: 38 | Record: 52 | Mean Score: 8.58 | Epsilon: 0.01 | Intrinsic: 0.143 | Eta: 0.01000
Game 9200 | Score: 28 | Record: 52 | Mean Score: 8.63 | Epsilon: 0.01 | Intrinsic: 0.104 | Eta: 0.01000
Game 9300 | Score: 26 | Record: 52 | Mean Score: 8.65 | Epsilon: 0.01 | Intrinsic: 0.094 | Eta: 0.01000
Game 9400 | Score: 14 | Record: 52 | Mean Score: 8.68 | Epsilon: 0.01 | Intrinsic: 0.044 | Eta: 0.01000
Game 9500 | Score: 11 | Record: 52 | Mean Score: 8.73 | Epsilon: 0.01 | Intrinsic: 0.046 | Eta: 0.01000
Game 9600 | Score: 0 | Record: 52 | Mean Score: 8.76 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 9700 | Score: 18 | Record: 52 | Mean Score: 8.81 | Epsilon: 0.01 | Intrinsic: 0.070 | Eta: 0.01000
Game 9800 | Score: 31 | Record: 52 | Mean Score: 8.85 | Epsilon: 0.01 | Intrinsic: 0.150 | Eta: 0.01000
Game 9900 | Score: 0 | Record: 52 | Mean Score: 8.88 | Epsilon: 0.01 | Intrinsic: 0.012 | Eta: 0.01000
Game 10000 | Score: 32 | Record: 52 | Mean Score: 8.90 | Epsilon: 0.01 | Intrinsic: 0.111 | Eta: 0.01000
Game 10100 | Score: 0 | Record: 52 | Mean Score: 8.92 | Epsilon: 0.01 | Intrinsic: 0.009 | Eta: 0.01000
Game 10200 | Score: 18 | Record: 52 | Mean Score: 8.95 | Epsilon: 0.01 | Intrinsic: 0.046 | Eta: 0.01000
Game 10300 | Score: 24 | Record: 52 | Mean Score: 8.98 | Epsilon: 0.01 | Intrinsic: 0.077 | Eta: 0.01000
Game 10400 | Score: 0 | Record: 52 | Mean Score: 8.98 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 10500 | Score: 0 | Record: 52 | Mean Score: 9.01 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 10600 | Score: 0 | Record: 52 | Mean Score: 9.04 | Epsilon: 0.01 | Intrinsic: 0.028 | Eta: 0.01000
Game 10700 | Score: 29 | Record: 52 | Mean Score: 9.08 | Epsilon: 0.01 | Intrinsic: 0.115 | Eta: 0.01000
Game 10800 | Score: 10 | Record: 52 | Mean Score: 9.13 | Epsilon: 0.01 | Intrinsic: 0.036 | Eta: 0.01000
Game 10900 | Score: 0 | Record: 52 | Mean Score: 9.13 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 11000 | Score: 32 | Record: 52 | Mean Score: 9.15 | Epsilon: 0.01 | Intrinsic: 0.134 | Eta: 0.01000
Game 11100 | Score: 13 | Record: 52 | Mean Score: 9.19 | Epsilon: 0.01 | Intrinsic: 0.034 | Eta: 0.01000
Game 11200 | Score: 31 | Record: 52 | Mean Score: 9.22 | Epsilon: 0.01 | Intrinsic: 0.129 | Eta: 0.01000
Game 11300 | Score: 0 | Record: 52 | Mean Score: 9.23 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 11400 | Score: 0 | Record: 52 | Mean Score: 9.24 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 11500 | Score: 0 | Record: 52 | Mean Score: 9.26 | Epsilon: 0.01 | Intrinsic: 0.009 | Eta: 0.01000
Game 11600 | Score: 0 | Record: 52 | Mean Score: 9.27 | Epsilon: 0.01 | Intrinsic: 0.010 | Eta: 0.01000
Game 11700 | Score: 24 | Record: 52 | Mean Score: 9.28 | Epsilon: 0.01 | Intrinsic: 0.086 | Eta: 0.01000
Game 11800 | Score: 11 | Record: 52 | Mean Score: 9.29 | Epsilon: 0.01 | Intrinsic: 0.036 | Eta: 0.01000
Game 11900 | Score: 0 | Record: 52 | Mean Score: 9.33 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 12000 | Score: 25 | Record: 52 | Mean Score: 9.37 | Epsilon: 0.01 | Intrinsic: 0.125 | Eta: 0.01000
Game 12100 | Score: 13 | Record: 52 | Mean Score: 9.37 | Epsilon: 0.01 | Intrinsic: 0.040 | Eta: 0.01000
Game 12200 | Score: 6 | Record: 52 | Mean Score: 9.38 | Epsilon: 0.01 | Intrinsic: 0.018 | Eta: 0.01000
Game 12300 | Score: 29 | Record: 52 | Mean Score: 9.40 | Epsilon: 0.01 | Intrinsic: 0.101 | Eta: 0.01000
Game 12400 | Score: 14 | Record: 52 | Mean Score: 9.42 | Epsilon: 0.01 | Intrinsic: 0.048 | Eta: 0.01000
Game 12500 | Score: 0 | Record: 52 | Mean Score: 9.43 | Epsilon: 0.01 | Intrinsic: 0.020 | Eta: 0.01000
Game 12600 | Score: 29 | Record: 52 | Mean Score: 9.43 | Epsilon: 0.01 | Intrinsic: 0.127 | Eta: 0.01000
Game 12700 | Score: 31 | Record: 52 | Mean Score: 9.46 | Epsilon: 0.01 | Intrinsic: 0.105 | Eta: 0.01000
Game 12800 | Score: 9 | Record: 52 | Mean Score: 9.47 | Epsilon: 0.01 | Intrinsic: 0.028 | Eta: 0.01000
Game 12900 | Score: 0 | Record: 52 | Mean Score: 9.50 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 13000 | Score: 0 | Record: 52 | Mean Score: 9.53 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 13100 | Score: 0 | Record: 52 | Mean Score: 9.55 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 13200 | Score: 0 | Record: 52 | Mean Score: 9.56 | Epsilon: 0.01 | Intrinsic: 0.017 | Eta: 0.01000
Game 13300 | Score: 0 | Record: 52 | Mean Score: 9.58 | Epsilon: 0.01 | Intrinsic: 0.015 | Eta: 0.01000
Game 13400 | Score: 0 | Record: 52 | Mean Score: 9.58 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 13500 | Score: 22 | Record: 52 | Mean Score: 9.59 | Epsilon: 0.01 | Intrinsic: 0.077 | Eta: 0.01000
Game 13600 | Score: 0 | Record: 52 | Mean Score: 9.60 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 13700 | Score: 0 | Record: 52 | Mean Score: 9.60 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 13800 | Score: 29 | Record: 52 | Mean Score: 9.60 | Epsilon: 0.01 | Intrinsic: 0.107 | Eta: 0.01000
Game 13900 | Score: 34 | Record: 52 | Mean Score: 9.62 | Epsilon: 0.01 | Intrinsic: 0.129 | Eta: 0.01000
[Game 14000] Final LR cooldown applied → 1e-5
Game 14000 | Score: 0 | Record: 52 | Mean Score: 9.62 | Epsilon: 0.01 | Intrinsic: 0.025 | Eta: 0.01000
Game 14100 | Score: 0 | Record: 52 | Mean Score: 9.64 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 14200 | Score: 0 | Record: 52 | Mean Score: 9.64 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 14300 | Score: 0 | Record: 52 | Mean Score: 9.63 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 14400 | Score: 13 | Record: 52 | Mean Score: 9.63 | Epsilon: 0.01 | Intrinsic: 0.039 | Eta: 0.01000
Game 14500 | Score: 23 | Record: 52 | Mean Score: 9.63 | Epsilon: 0.01 | Intrinsic: 0.069 | Eta: 0.01000
Game 14600 | Score: 0 | Record: 52 | Mean Score: 9.64 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 14700 | Score: 0 | Record: 52 | Mean Score: 9.65 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 14800 | Score: 0 | Record: 52 | Mean Score: 9.65 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 14900 | Score: 14 | Record: 52 | Mean Score: 9.64 | Epsilon: 0.01 | Intrinsic: 0.035 | Eta: 0.01000
Game 15000 | Score: 19 | Record: 52 | Mean Score: 9.65 | Epsilon: 0.01 | Intrinsic: 0.063 | Eta: 0.01000
Game 15100 | Score: 0 | Record: 52 | Mean Score: 9.68 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 15200 | Score: 0 | Record: 52 | Mean Score: 9.69 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
Game 15300 | Score: 29 | Record: 52 | Mean Score: 9.69 | Epsilon: 0.01 | Intrinsic: 0.074 | Eta: 0.01000
Game 15400 | Score: 0 | Record: 52 | Mean Score: 9.70 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 15500 | Score: 28 | Record: 52 | Mean Score: 9.71 | Epsilon: 0.01 | Intrinsic: 0.090 | Eta: 0.01000
Game 15600 | Score: 22 | Record: 52 | Mean Score: 9.71 | Epsilon: 0.01 | Intrinsic: 0.064 | Eta: 0.01000
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 159-159, summary, console lines 161-165
wandb: 
wandb: Run history:
wandb:          Epsilon █▇▆▅▄▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:              Eta ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:             Game ▁▁▁▁▂▂▂▂▂▃▃▃▃▃▃▄▄▄▄▄▄▄▅▅▅▆▆▆▆▆▇▇▇▇▇█████
wandb: Intrinsic_Reward ▁▁▃▅▄▁▁▁▄▅▇▁▂▇▂▁▇▁▂▁▁▄▆▃▃▇▁▇▃▁▁▆▂█▂▂▁▄▁▆
wandb:       Mean_Score ▁▁▁▁▁▃▄▄▄▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇▇██████████████
wandb:           Record ▁▁▄▆▆▆▆▆▆▆██████████████████████████████
wandb:            Score ▁▁▁▁▁▁▄▄▆▁▅▅▁▇▁▁▆▅▁▁█▁▆█▃▅██▁▁▃█▃▁▁▁▁▄▇▆
wandb: 
wandb: Run summary:
wandb:          Epsilon 0.01
wandb:              Eta 0.01
wandb:             Game 16000
wandb: Intrinsic_Reward 0.08147
wandb:       Mean_Score 9.75587
wandb:           Record 52
wandb:            Score 26
wandb: 
wandb: 🚀 View run DQN_PER_v5_2hl_ICM_10x10 at: https://wandb.ai/saheb37/rl-snake/runs/3rurfbo5
wandb: ⭐️ View project at: https://wandb.ai/saheb37/rl-snake
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260423_143304-3rurfbo5/logs
Game 15700 | Score: 16 | Record: 52 | Mean Score: 9.71 | Epsilon: 0.01 | Intrinsic: 0.035 | Eta: 0.01000
Game 15800 | Score: 25 | Record: 52 | Mean Score: 9.74 | Epsilon: 0.01 | Intrinsic: 0.086 | Eta: 0.01000
Game 15900 | Score: 0 | Record: 52 | Mean Score: 9.75 | Epsilon: 0.01 | Intrinsic: 0.009 | Eta: 0.01000
Game 16000 | Score: 26 | Record: 52 | Mean Score: 9.76 | Epsilon: 0.01 | Intrinsic: 0.081 | Eta: 0.01000

Training Complete!
Best Score: 52
Final Mean Score: 9.76
