/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run e0lyelus
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_104219-e0lyelus
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_ICM_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/e0lyelus
Starting ICM DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 100 | Score: 0 | Record: 2 | Mean Score: 0.06 | Epsilon: 0.95 | Intrinsic: 0.003 | Eta: 0.01000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.10 | Epsilon: 0.90 | Intrinsic: 0.003 | Eta: 0.01000
Game 300 | Score: 0 | Record: 3 | Mean Score: 0.13 | Epsilon: 0.85 | Intrinsic: 0.002 | Eta: 0.01000
Game 400 | Score: 0 | Record: 3 | Mean Score: 0.15 | Epsilon: 0.80 | Intrinsic: 0.001 | Eta: 0.01000
Game 500 | Score: 0 | Record: 4 | Mean Score: 0.18 | Epsilon: 0.75 | Intrinsic: 0.001 | Eta: 0.01000
Game 600 | Score: 1 | Record: 5 | Mean Score: 0.19 | Epsilon: 0.70 | Intrinsic: 0.014 | Eta: 0.01000
Game 700 | Score: 0 | Record: 5 | Mean Score: 0.22 | Epsilon: 0.65 | Intrinsic: 0.002 | Eta: 0.01000
Game 800 | Score: 1 | Record: 5 | Mean Score: 0.28 | Epsilon: 0.60 | Intrinsic: 0.008 | Eta: 0.01000
Game 900 | Score: 0 | Record: 5 | Mean Score: 0.34 | Epsilon: 0.55 | Intrinsic: 0.003 | Eta: 0.01000
Game 1000 | Score: 0 | Record: 6 | Mean Score: 0.38 | Epsilon: 0.50 | Intrinsic: 0.004 | Eta: 0.01000
Game 1100 | Score: 2 | Record: 11 | Mean Score: 0.43 | Epsilon: 0.45 | Intrinsic: 0.010 | Eta: 0.01000
Game 1200 | Score: 0 | Record: 11 | Mean Score: 0.51 | Epsilon: 0.40 | Intrinsic: 0.006 | Eta: 0.01000
Game 1300 | Score: 0 | Record: 12 | Mean Score: 0.62 | Epsilon: 0.35 | Intrinsic: 0.003 | Eta: 0.01000
Game 1400 | Score: 7 | Record: 12 | Mean Score: 0.72 | Epsilon: 0.30 | Intrinsic: 0.031 | Eta: 0.01000
Game 1500 | Score: 1 | Record: 12 | Mean Score: 0.81 | Epsilon: 0.25 | Intrinsic: 0.007 | Eta: 0.01000
Game 1600 | Score: 13 | Record: 13 | Mean Score: 0.92 | Epsilon: 0.20 | Intrinsic: 0.052 | Eta: 0.01000
